gameday;hoamTeam;guestTeam;hoamResultFactor;homeTotalGoalDiff;guestTotalGoalDiff;homeTeamGoalsDiffAtHome;homeTeamGoalsDiffAway;guestTeamGoalsDiffAtHome;guestTeamGoalsDiffAway;homeTeamPointsTotal;guestTeamPointsTotal
1;Rapid;Mattersburg;U;0;0;0;0;0;0;0;0
1;WAC;Salzburg;N;0;0;0;0;0;0;0;0
1;LASK;Admira;S;0;0;0;0;0;0;0;0
1;Altach;Austria;S;0;0;0;0;0;0;0;0
1;Graz;SKN;S;0;0;0;0;0;0;0;0
2;Salzburg;LASK;U;2;3;0;2;3;0;3;3
2;Mattersburg;WAC;S;2;-2;0;0;-2;0;1;0
2;SKN;Rapid;N;2;0;0;-1;0;0;0;1
2;Austria;Graz;N;0;1;0;-3;1;0;0;3
2;Admira;Altach;S;0;3;0;-3;3;0;0;3
3;LASK;SKN;S;4;-4;3;0;-3;-1;4;0
3;Salzburg;Admira;S;2;0;0;2;3;-3;4;3
3;WAC;Altach;S;-2;0;-2;-1;3;-3;0;3
3;Rapid;Austria;U;4;-4;0;3;-1;-3;4;0
3;Mattersburg;Graz;N;3;2;1;0;1;1;4;6
4;Altach;Salzburg;N;4;6;3;-4;4;2;3;7
4;SKN;Mattersburg;U;-1;0;-3;-3;0;0;0;4
4;Austria;LASK;S;1;5;-1;-3;5;0;1;7
4;Graz;WAC;S;7;-2;1;2;-1;-1;9;3
4;Admira;Rapid;S;4;3;3;-7;0;3;3;5
5;Rapid;Graz;N;5;4;0;1;2;2;5;12
5;WAC;Admira;S;0;-2;-1;-2;5;-7;3;6
5;Salzburg;SKN;S;7;-6;4;3;-3;-3;10;1
5;LASK;Altach;U;6;-2;5;-2;2;-4;7;3
5;Mattersburg;Austria;N;2;-2;0;0;1;-3;5;4
6;WAC;SKN;S;2;-10;1;-2;-3;-7;6;1
6;Rapid;LASK;S;4;3;-1;1;5;-2;5;8
6;Graz;Salzburg;S;10;11;2;3;8;3;15;13
6;Altach;Mattersburg;S;3;-2;2;-4;-2;0;4;5
6;Admira;Austria;N;6;0;5;-9;1;-1;6;7
7;LASK;Graz;S;6;6;5;-3;3;3;8;18
7;SKN;Altach;N;1;-1;-3;-8;3;-4;1;7
7;Austria;WAC;U;9;0;1;1;2;-2;10;9
7;Mattersburg;Admira;N;0;-6;-2;-1;3;-9;5;6
7;Salzburg;Rapid;U;11;1;8;2;0;1;13;8
8;Altach;Rapid;U;6;1;3;-3;0;1;10;9
8;Admira;Graz;S;9;5;3;-4;3;2;9;18
8;WAC;LASK;U;5;3;2;-2;6;-3;10;11
8;Mattersburg;Salzburg;N;-5;10;-7;-1;8;2;5;14
8;Austria;SKN;S;9;-12;1;1;-4;-8;11;1
9;Rapid;WAC;S;9;0;0;1;2;-2;10;11
9;SKN;Admira;U;1;0;-4;-12;4;-4;1;12
9;Graz;Altach;U;13;0;3;1;3;-3;18;11
9;LASK;Mattersburg;U;7;-9;6;-3;-8;-1;12;5
9;Salzburg;Austria;U;13;6;8;3;5;1;17;14
10;SKN;Graz;N;1;4;-4;-12;3;1;2;19
10;Admira;LASK;S;11;3;4;-4;6;-3;13;13
10;Mattersburg;Rapid;N;-4;3;-8;-1;2;1;6;13
10;Austria;Altach;S;13;0;5;1;3;-3;15;12
10;Salzburg;WAC;S;13;-2;8;3;2;-4;18;11
11;LASK;Salzburg;N;9;12;6;-5;9;3;13;21
11;WAC;Mattersburg;U;8;-10;2;-5;-9;-1;11;6
11;Altach;Admira;U;6;2;3;-5;6;-4;12;16
11;Rapid;SKN;S;12;-19;2;2;-7;-12;16;2
11;Graz;Austria;S;16;8;3;4;7;1;22;18
12;Graz;Mattersburg;S;19;-10;6;4;-9;-1;25;7
12;SKN;LASK;N;-2;-1;-7;-13;4;-5;2;13
12;Altach;WAC;S;6;-3;3;-5;2;-5;13;12
12;Admira;Salzburg;U;15;14;6;-4;9;5;17;24
12;Austria;Rapid;N;15;5;7;-2;3;2;18;19
13;Rapid;Admira;S;14;2;3;3;6;-4;22;18
13;Mattersburg;SKN;U;-1;-21;-9;-2;-8;-13;7;2
13;Salzburg;Altach;S;18;-1;9;5;4;-5;25;16
13;LASK;Austria;U;8;4;4;-4;6;-2;16;18
13;WAC;Graz;N;10;11;2;-6;7;4;12;28
14;Graz;Rapid;U;22;7;7;6;4;3;31;25
14;Altach;LASK;N;7;0;4;-7;4;-4;16;17
14;Admira;WAC;U;15;-6;6;-5;0;-6;18;12
14;Austria;Mattersburg;N;16;-11;6;-2;-9;-2;19;8
14;SKN;Salzburg;N;-2;16;-8;-13;11;5;3;28
15;LASK;Rapid;N;12;7;4;-2;4;3;20;26
15;Mattersburg;Altach;S;2;-5;-9;0;2;-7;11;16
15;SKN;WAC;U;-4;-6;-10;-13;0;-6;3;13
15;Austria;Admira;N;14;1;4;-2;6;-5;19;19
15;Salzburg;Graz;S;23;13;11;7;7;6;31;32
